OBJECTID,Name,Address,Postcode,Ward,Toilet opening hours,Male (no. of),Urinals (no. of),Female (no. of),Unisex (no.of),Accessible (no. of),Accessibility info,Changing Place,Automatic opening door,Pull cord monitored (Y/N/Times),Radar Key,Baby change,Family Toilet,Automatic Public Convenience,Attended,Full Time Staffing,geo_shape,geo_point_2d
52,Tesco - Callington Road,"Callington Road, BS4 5AY",BS4 5AY,Brislington West,"Mon 8am then 24 hours until 10pm on Sats, Sun 10am - 4pm",Yes,0,Yes,0,1,"YES - door width 80cm, cubicle 148cmx230cm, seat height 48 cm, no locking lugs, handrails.",N,N,Yes- during open times,N,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.554650233215569, 51.43247327181327]}","51.4324732718, -2.55465023322"
29,Sea Walls Public Toilets,Circular Road By Sea Walls viewing Area,BS9 1ZZ,Stoke Bishop,Monday - Saunday  7:30-18:00,2,1,3,,Yes,"Door size 100cm. Movable supportrails, Cubical size 200- 210cm. Seat height 49cm",N,N,N,Y,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.635545426921134, 51.47014254948864]}","51.4701425495, -2.63554542692"
54,Avonmouth Medical Centre (Pioneer Medical Group),"1 Collins Street, Bristol",BS11 9JJ,Avonmouth & Lawrence Weston,"Monday-Thursday 08:00 - 18:30, Friday 08:00-17:00",0,0,0,2,1,"YES - Moveable rail, door 94cm, cubicle 153 x 167cm, seat height 48cm, accessible locks",N,N,Y during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.694532865994351, 51.498751607481]}","51.4987516075, -2.69453286599"
2081,Ridingleaze Medical Centre (Pioneer Medical Group),"Ridingleaze, Lawrence Weston",BS11 0QE,Avonmouth & Lawrence Weston,Monday- Friday 08:00 - 18:30,0,0,0,1,1,"YES - Door 83cm, cubicle 300 x 136cm, seat height 41cm, mirror, contrast skirting, non slip floor",N,N,no,N,N,N,N,,,"{""type"": ""Point"", ""coordinates"": [-2.65981753253287, 51.50044555738451]}","51.5004455574, -2.65981753253"
57,Barton Hill Settlement,"41-43 Ducie Road, BS5 0AX",BS5 0AX,Lawrence Hill,Monday - Friday 9:00 - 16:00,2,,2,0,2,"YES- toilet height 48cm, cubicle size 150cmx 210cm, contrasting walls and floor, hand rails, mirror",N,N,Yes- during open time,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.563674974700087, 51.4562494756259]}","51.4562494756, -2.5636749747"
115,"The Greenway Centre, The Southmead Development Trust","The Greenway Centre, Doncaster Road",BS10 5PY,Southmead,"Mon-Fri 8am-10pm, Sat-Sun 9am - 5pm",1,3,4,0,1,Yes - has disabled shower in the unit,N,N,Yes - while open,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.608793382751279, 51.49948627978974]}","51.4994862798, -2.60879338275"
513,Arnolfini Cafe (Bristol Beer Factory),"Arnolfini, Narrow Quay, Bristol",BS1 4QA,Central,"Monday 09:00-16:00, Tuesday-Thursday 09:00-22:00, Friday 09:00-23:00, Saturday 10:00-23:00, Sunday 10:00-18:00",,,,2,2,"YES - 1 cubicle with good turning space, 1 cubicle with slightly less turning space.",N,N,Yes - alarm in bar during opening times.,N,Y,N,N,N,Y,"{""type"": ""Point"", ""coordinates"": [-2.597374819950398, 51.44927983787576]}","51.4492798379, -2.59737481995"
546,Millenium Square car park public toilets,"Canons Way, Bristol",BS1 5LL,Hotwells & Harbourside,"Monday-Friday 11:00-17:00, Saturday-Sunday 11:00-17:00",2,1,3,0,1,"YES - Support rail moveable. Door 98cm, cubical 150 x 185cm, seat height 46cm, lugs, mirror, non reflective walls, non slip floor, accessible locks",N,N,,Y,Y,N,N,N,,"{""type"": ""Point"", ""coordinates"": [-2.600535660066153, 51.44943917965431]}","51.4494391797, -2.60053566007"
148,Watershed,"1 Cannons Rd, Harbourside, Bristol",BS1 5TX,Hotwells & Harbourside,"Monday-Friday 9:00-23:00, Saturday-Sunday 10:00-23:00",4,4,5,,1,"YES - Movable support rail, Door width 86cm, Cubical size 170x214, Seat height 47cm, Mirror, Colour contrasting skirting, Non-slip floor",N,,yes,,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.59807284533066, 51.451771616223816]}","51.4517716162, -2.59807284533"
4161,Conham river park,Conham Road,BS15 1AW,St George Troopers Hill,,,,,,0,NONE,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.534776863600655, 51.44718082353706]}","51.4471808235, -2.5347768636"
4497,Ashton Gate Limited,"Coffee shop, Ashton Gate Stadium, Bristol",BS3 2EL,Bedminster,Monday-Friday 08:00-16:00 closed to public on Match days,,,,1,1,YES - Cubical size 140-240cm. Seat height 48. handrails,N,N,Yes - during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.620749692421803, 51.439308645769536]}","51.4393086458, -2.62074969242"
3,Ardagh Public Conveniences Horfield Common,"Kellaway Avenue, Horfield, Bristol",BS6 7YL,Bishopston & Ashley Down,"Monday-Sunday 08.00-17.15 (winter), 08:00-21.15 (summer), excluding Christmas Day",1,1,2,0,1,"YES - Moveable support rail, door 86cm, cubicle 160 x 367cm, seat 48cm, coloured skirting, non reflective wall, non slip floor, accessible locks",N,N,No,Y,N,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.592906481593013, 51.485066846419336]}","51.4850668464, -2.59290648159"
7,Ashton Court Estate Public Conveniences Stable yard,"Kennel Lodge Road, Long Ashton, North Somerset",BS41 9JN,North Somerset Ward,"Monday-Sunday 07.00-17:00 (winter), 07:00-19:00 (summer), excluding Christmas Day",2,2,5,0,1,"YES - Moveable hand rail, door 89cm, cubicle 167 x 194cm, seat of toilet 48cm, mirror, non reflect walls, non slip floor, accessible locks",N,N,,N,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.637750362618646, 51.444193779986655]}","51.44419378, -2.63775036262"
41,Oldbury Court Estate - Public Conveniences,"Oldbury Court Road, Bristol",BS16 2JH,Frome Vale,"Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day",0,1,0,2,1,"YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, 53cm seat height, mirror, colour contrast skirting, non reflective wall, non-slip floor",N,N,no,N,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.5281769032017483, 51.48791461943577]}","51.4879146194, -2.5281769032"
50,Broadwalk Shopping Centre,"Broadwalk, Knowle, Bristol",BS4 2QU,Knowle,"Monday-Thursday 08:00-18:30, Friday 08:00-19:30, Saturday 08:00-18:00, Sunday 10:00-16:00",2,3,5,,1,"YES - Radar key. If you don't have a radar key, push bell",N,N,Yes- during opening hours,Y,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.5680095577387103, 51.434414624280016]}","51.4344146243, -2.56800955774"
578,South Bristol Crematorium and Cemetery,"Bridgwater Road, Bristol",BS13 7AS,Bishopsworth,"Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00",1,,1,,1,"YES - Female and disabled toilets shared access, ramp to the door",N,N,No,N,N,N,N,N,Y,"{""type"": ""Point"", ""coordinates"": [-2.624448901566282, 51.42423954621584]}","51.4242395462, -2.62444890157"
1281,Greenbank Cemetery (The Mortuary),"Greenbank Road, Easton, Bristol",BS5 6HL,Eastville,Monday- Friday 09:00-16:30,,,,1,0,None,N,N,No,N,N,N,N,N,Y,"{""type"": ""Point"", ""coordinates"": [-2.555276238395372, 51.47042645117558]}","51.4704264512, -2.5552762384"
58,JD Weatherspoon - St Georges Hall,"St Georges Hall, 203 Church Rd",BS5 9HL,Easton,Sunday-Thursday 08:00-12:00. Friday-Saturday 08:00-01:00.,3,6,6,0,1,YES - Cubical size 134x230cm. Seat height 41cm. Door width 88cm. Handrails.,N,N,Yes - During opentimes,N,N,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.555206408452864, 51.45937400343346]}","51.4593740034, -2.55520640845"
73,Asda Whitchurch,"Whitchurch District Centre, Oatlands Avenue",BS14 0ST,Hengrove & Whitchurch Park,Monday 08:00-23:00; Tuesday-Friday 7.30am-11pm; Saturday 7am - 10pm; Sunday 10am - 4pm,1,2,4,,1,YES,N,N,Yes - during store opening hours,N,Y,N,N,Y,N,"{""type"": ""Point"", ""coordinates"": [-2.570960920550013, 51.413908084617944]}","51.4139080846, -2.57096092055"
147,We the curious - Cafe,"Anchor Road, Bristol",BS1 5DB,Hotwells & Harbourside,"Monday-Friday 10:00-17:00, (during term time), 10:00-18:00, weekends, bank holidays and Bristol school holidays",0,0,0,2,1,"YES - Support rail door 90cm, Cubical size 220 x 168cm, Seat 48cm, non slip floor, large catch. Hoist",N,,yes,Y,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.600487222378811, 51.450419442926425]}","51.4504194429, -2.60048722238"
157,Southville Centre,"Beauley Rd, BS3 1QG",BS3 1QG,Southville,"Monday-Thursday 8:30-20:15, Friday 8:30-18:00.",1,3,3,,1,"YES - Door 86cm, Cubical: 193x199cm. Seat height 48cm. Support rails.",N,,Yes during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.605536146122216, 51.44368561598767]}","51.443685616, -2.60553614612"
514,Bristol Museum and Art Gallery,"Queens Road, Bristol",BS8 1RL,Central,Tues- Sun 10:00- 17:00 open on Mondays during Bristol school holidays from 10:00-17:00,1,3,1,,1,YES,N,N,y during opentimes,N,Y,,N,N,,"{""type"": ""Point"", ""coordinates"": [-2.605155635130489, 51.45628514060206]}","51.4562851406, -2.60515563513"
612,"The Park, Daventry Road","Daventry Road, Knowle, Bristol",BS4 1DQ,Knowle,"Monday-Friday 7:00-22.00, Saturday-Sunday 9:00-16:00",1,,3,,1,"YES - Support rail moveable, door width 95cm, cubical size 220 x 242cm, height of seat 50cm, non reflecting wall, non slip floor",,,,,Y,,,,,"{""type"": ""Point"", ""coordinates"": [-2.581462542285288, 51.429724968128]}","51.4297249681, -2.58146254229"
3505,"Cabot Circus Shopping Centre, Lower ground floor","Glass House, Broadmead",BS1 3BX,Central,"Monday-Saturday 09:00-20:15, Sunday 09:00-17:30",9,20,19,,4,"YES - 4 standard units; support rails; seat hight 36- 40cm; non slip foor, none reflecting walls/floors, CP seat hight 47cm hoist and changing table",Y,N,Yes 24 hour,Y,Y,,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.584332317762057, 51.45894030214083]}","51.4589403021, -2.58433231776"
2,Victoria Park Public Conveniences Park Lodge,"Somerset Terrace, Bristol",BS3 4LL,Windmill Hill,"Winter Monday - Sunday 07:30 - 17.15. Summer 07:30 - 20:30, excluding Christmas Day",1,1,2,,1,"YES - Support rail movable, Door 79cm, 126x230cm, Non reflective walls non slip floor acc locks",N,N,no,Y,,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.589757490670152, 51.44008663756342]}","51.4400866376, -2.58975749067"
53,McDonald's - Brislington,"Bath Road / Emery Road, BS4 5PF",BS4 5PF,Brislington East,24 hours,2,?,2,,1,"YES- cubicle 94cmx140cm, Door width 73cm, seat height 49cm, contrasting skirting board, non slip floor, handrails, no locking seat lugs.",N,,Yes - during open times,N,Yes,N,N,,Y,"{""type"": ""Point"", ""coordinates"": [-2.538740561366427, 51.43006562614154]}","51.4300656261, -2.53874056137"
74,The Yeoman,700 Wells Road,BS14 9HX,Stockwood,Monday to Sunday 11:00 - 23:00,2,2,5,0,1,"YES- cubicle 153cmx200cm, door 86cm, seat height 43, contrasting skirting board, RADAR lock, none slip floor, handrails.",N,N,,Y,Y,N,N,Y,N,"{""type"": ""Point"", ""coordinates"": [-2.5592946629152973, 51.413514523951385]}","51.413514524, -2.55929466292"
3473,Campus Pool,"Whitchurch Rd, Bishopsworth",BS13 7RW,Bishopsworth,"Monday-Thursday 10:00-21:00, Friday and Saturday 10:00-18:00",,,,,1,"YES - Support Rail movable, Cubicale size 234x308, Door width 90, Seat height 48cm",,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.617139638079339, 51.415985114521185]}","51.4159851145, -2.61713963808"
3476,Tobacco Factory,"Raleigh Road, Bristol",BS3 1TF,Southville,"Monday-Thursday and Sunday 10:00-23:00, Friday-Saturday 10:00-12:00",4,,4,,1,YES - Door width 88cm,,,,Y,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.613502116494648, 51.44238895115573]}","51.4423889512, -2.61350211649"
76,A4 Brislington Park and Ride,"Brislington Park And Ride, Stockwood Road, Brislington, Bristol",BS4 5ZZ,Brislington West,"Monday-Friday 6:30am to 9:30pm, Saturday 7:30am to 8pm, Sunday - Closed",2,,2,,1,"YES, Door width 90cm, Cubical size 140x160cm, Seat Height 44cm",N,N,None,N,N,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.537089696758252, 51.427906158623955]}","51.4279061586, -2.53708969676"
128,"City Hall, Bristol City Council","College Green, Bristol",BS1 5TL,Hotwells & Harbourside,Monday-Friday 08:00-19:00,7,5,7,0,2,YES,Y,Y,Yes - accessible toliets and changing places only,N,Y,N,N,Y,N,"{""type"": ""Point"", ""coordinates"": [-2.602041439705758, 51.45260549773835]}","51.4526054977, -2.60204143971"
138,Junction 3 Library,Junction 3 Library Baptist Mills Court Bristol,BS5 0FJ,Lawrence Hill,"1 - 7 Monday, 11 - 5 Tuesday, 1 - 7 Wednesday, 11 - 5 Friday, 10 - 5 Saturday",,,,2,Yes,Level access,N,N,,N,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.573240047417285, 51.466112132384715]}","51.4661121324, -2.57324004742"
155,Create Centre,"Smeaton Road, Howells",BS1 6XN,Hotwells & Harbourside,"Monday-Thursday 8:30am-5pm, Friday 8:30am-4:30pm, Saturday 10am-4pm first two Saturdays of the month.",2,3,3,2,3,"YES - 3 units, one in the female toilets, one in the male and one unisex.",N,N,Y during open times,N,Y,N,N,Y,N,"{""type"": ""Point"", ""coordinates"": [-2.622420907065206, 51.44710911363781]}","51.4471091136, -2.62242090707"
8,"Ashton Court Estate, golf hub Public Conveniences","Golf Hub, Rownham Hill, Long Ashton, North Somerset",BS8 3PX,North Somerset Ward,"7.00 until 17.00 - 19.00, excluding Christmas Day",1,1,1,2,1,"YES - Movable support rail, Door 90cm, Cubical 220x153, Seat height 49cm, mirror, non reflective wall, non slip floor?",N,Y,yes,N,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.644116278127089, 51.45111390517966]}","51.4511139052, -2.64411627813"
5169,Banco Lounge,"107 Wells Rd, Bristol",BS4 2BS,Windmill Hill,Monday-Sunday 9am to 11pm,,,,,1,YES,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.577583496760642, 51.44153883654191]}","51.4415388365, -2.57758349676"
5170,Tinto Lounge,"344-346 Gloucester Road, Horfield, Bristol",BS7 8TP,Bishopston & Ashley Down,"Monday-Friday 8am-11pm, Saturday and Sunday 9am-11pm",,,,,0,NONE,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.587446964598094, 51.48301460387944]}","51.4830146039, -2.5874469646"
5171,The Lounge,"227-231 North Street, Bedminster, Bristol",BS3 1JJ,Southville,Monday-Sunday 9am to 11pm,,,,,1,"YES - door width 85cm, cubicle size 100x250cm, seat height 49cm,  hand rails, contrasting floor walls, mirror.",N,N,,N,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.612139718971168, 51.441139799358766]}","51.4411397994, -2.61213971897"
127,Source Cafe - St Nicholas Market,"St Nicholas Market Office, St Nicholas Market, Corn Street, Bristol",BS1 1JQ,Central,"Monday- Friday 09:30-17:00, Saturday 09:30-17:30",2,3,2,0,1,"YES in the cafe - support rail movable, door 87cm, cubical 216x142, no lugs mirror, non reflective walls non slip floor accessible locks",N,N,yes,N,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.593530520252358, 51.45440242450141]}","51.4544024245, -2.59353052025"
498,BCC Customers Service Point,"100 Temple Street, Redcliff, Bristol",BS1 6AG,Central,"Monday-Tuesday 9am-4:45pm, Wednesday 10am- 4:45pm  Thursday-Friday 9am-4:45pm",,,,3,1,"YES - 2 units, 1 is changing places",Y,Y,Y during opening times,Y,Y,,,Y,,"{""type"": ""Point"", ""coordinates"": [-2.586578872239177, 51.449602989318635]}","51.4496029893, -2.58657887224"
3429,Bristol South Swimming Pool,Dean Lane,BS3 1BS,Southville,Monday 07:30-20:00. Tuesday 07:30-19:00. Wedensday-Thursday 07:30-20:00. Friday 07:30-18:00. Saturday 08:00-15:45.,1,,1,,1,YES - Door 120cm. Cubical size 351x409cm. Seat height 48cm. hieght adjustable changing bed.,Y,N,Yes - during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.6006128914410773, 51.442256748796005]}","51.4422567488, -2.60061289144"
6,Blaise Castle House Museum and Roman Villa,Henbury Road,BS10 7QS,Henbury & Brentry,"Thu- Sun 11:00- 16:00, open Mondays during Bristol school holidays 10:00-17:00. Full details available on www.bristolmuseums.org.uk",1,3,1,,0,NONE,N,,,,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.632438200600677, 51.50576615730659]}","51.5057661573, -2.6324382006"
146,Mshed,"Prince's Wharf, Wapping Road",BS1 4RN,Central,Tuesday-Sunday 10am-5pm also open Mondays during Bristol school holidays 10:00-17:00,3,8,3,,2,"YES - 2 fully accessible, on ground floor and first floor",N,,,,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.5979772275293582, 51.44774378867]}","51.4477437887, -2.59797722753"
63,Helios Medical Centre Stoke Hill,"17 Stoke Hill, Bristol",BS9 1JN,Stoke Bishop,"Monday 8:00-19:00, Tuesday 8:00-20:00, Wednesday 07:30-18:30, closed Thursday, Friday 08:00-18:30",0,0,0,1,1,"YES - Movable support rails, Cubical 200x150, Seat height 53cm, Mirror, non slip floor",N,N,yes during opening hours,N,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.630751883075318, 51.475410674718354]}","51.4754106747, -2.63075188308"
3073,Horfield Lesuire centre,"Dorinan Road, Horfield",BS7 0XW,Horfield,"Monday-Friday 06:30-22:30, Saturday-Sunday 08:00-20:00",1,1,2,,1,YES - Cubical size 200-290cm. Door 80cm. Seat height 48cm,N,N,Yes - during open times,N,N,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.583776526895245, 51.493688581436906]}","51.4936885814, -2.5837765269"
5138,Creative Workspace,"Queens Road, Withywood, Bristol",BS13 8LF,Hartcliffe & Withywood,Tuesday-Friday 9:00-15:00,2,,3,,1,"YES - Movable supported rails, Door width 85cm, Size of cubical 2m by 2m, Seat height 48cm, Mirror, Non-slip floor, Colour contrasting skirting",,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.618566009850083, 51.41082577586728]}","51.4108257759, -2.61856600985"
141,Bishopston Library,"Bishopston Library, Gloucester Road, Bishopston, Bristol",BS7 8BN,Redland,"1pm-7pm Monday, 11am-5pm Wednesday, Thursday, Friday and Saturday",,,,1,1,"Level access entry, automatic opening doors, accessible lift to first floor, accessible toilet.",N,,,,,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.5916802974381072, 51.474904218354304]}","51.4749042184, -2.59168029744"
159,Windmill Hill City Farm,"Philip Street, Bedminster, Bristol",BS3 4EA,Southville,Monday-Sunday 09:00-17:00. Closed December 25-January 2,1,2,1,2,2,YES - Cafe toilets are accessible,,N,Yes. During opening hours,N,Y,Y,N,,Y,"{""type"": ""Point"", ""coordinates"": [-2.592827530865388, 51.44231204271132]}","51.4423120427, -2.59282753087"
545,Spike Island,"133 Cumberland Road, Bristol",BS1 6UX,Hotwells & Harbourside,"Monday-Friday 08:30-17:00, 10:00-17:00 Saturday-Sunday",,,,5,1,YES - Separate unit to main toilets. Clean & tidy. Enough space to turn a wheelchair.,N,N,Yes - during opening hours,N,Y,N,N,Y,N,"{""type"": ""Point"", ""coordinates"": [-2.610623238106463, 51.447037940175655]}","51.4470379402, -2.61062323811"
4481,Air Balloon Surgery,"Kenn Rd, St George, Bristol",BS5 7PD,St George Central,Monday-Friday 08:00-18:30,1,,1,,1,"YES - Door 90cm. Cubical 240x180cm. Seat height 46cm, handrails",N,N,Yes during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.532468298079203, 51.4589358738141]}","51.4589358738, -2.53246829808"
3457,The Old Crow,Crow Lane,BS10 7DR,Henbury & Brentry,Monday - Sunday 11:00 - 23:00,2,7,2,0,0,NONE,N,N,No,N,N,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.618818405669479, 51.50993181879535]}","51.5099318188, -2.61881840567"
5,Blaise Castle Estate Public Conveniences,"Kings Weston Road, Kingsweston, Bristol",BS10 7QT,Henbury & Brentry,"Winter Monday - Sunday 08.30 -15:30. Summer Monday - Friday  8:30 - 16.00 hours, excluding Christmas Day",2,1,5,0,1,"YES - Movable hand rail, Coor 91cm, Cubical 220x270. Height of seat 43cm, mirror, no reflective wall, non slip floor accessible locks",N,,yes,Y,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.636652172538088, 51.50543521698825]}","51.505435217, -2.63665217254"
44,Redcatch Park Public Conveniences,"Broad Walk, Knowle, Bristol",BS4 2RA,Knowle,"7.00 until 16.30 winter - 20.00 summer hours, excluding Christmas Day",2,1,2,,1,"YES - Support rail mobile door 80cm, 175x100cm cubical, seat 47cm, non reflective wall, non slip floor, accessible lock",N,N,no,Y,N,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.5719354058107493, 51.43400238208885]}","51.4340023821, -2.57193540581"
1,Snuff Mills Park Public Conveniences,"River View, Bristol, BS16  1DL",BS16 1DL,Frome Vale,"Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day",1,0,0,2,1,"YES - Door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, coloured skirting, non reflective wall, non slip floor, accessible lock",N,N,,Y,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.544486647845698, 51.48623723049221]}","51.4862372305, -2.54448664785"
4,Brandon Hill Park - Public Conveniences,"Great George Street, City Centre, Bristol",BS1 5RR,Hotwells & Harbourside,"Monday - Sunday 08.00 - 15.30, excluding Christmas Day",1,1,1,0,1,"YES - Support rail, cubicle size 188 x 270cm, seat height 48cm, mirror, contrast skirting, non reflective wall, non-slip floors, accessible locks",N,N,no,N,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.607472789568813, 51.45374213233456]}","51.4537421323, -2.60747278957"
2418,East Trees Health Centre,100a Fishponds Road,BS5 6SA,Eastville,"Monday 08:00-19:30, Tuesday-Friday 08:00-18:30",2,,2,,1,"YES - Door width 90cm, cubicle size 220 x 140cm, moveable support rails",N,N,Yes during open times,,,Y,,,,"{""type"": ""Point"", ""coordinates"": [-2.562200367115904, 51.47010419996987]}","51.4701042, -2.56220036712"
81,Burger King - St Phillips Causeway,"St Phillips Causeway, BS4 3BD",BS4 3BD,Brislington West,10am-10pm Sun-Thu; Fri 10am-12 midnight; Sat 9am-12 midnight,,,,,0,,N,,,,,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.56143165298191, 51.44230494395833]}","51.442304944, -2.56143165298"
120,Grupo Lounge (Lounges),8 Canford Lane,BS9 3DH,Westbury-on-Trym & Henleaze,Mon- Sun 9am-11pm,1,,2,,1,"YES- door width 85cm, cubicle size 220x130cm, seat height 48cm, handrails, mirror, contrasting floor wall,",,N,Yes during open times,N,Y,,N,,,"{""type"": ""Point"", ""coordinates"": [-2.619475374039026, 51.492886565232176]}","51.4928865652, -2.61947537404"
137,Bristol Central Library,"Deanery Road, Bristol",BS1 5TL,Hotwells & Harbourside,Monday -Thursday 10:00-19:00 CLOSED Wednesday. Friday- Saturday 10:00- 16:45. Sunday 13:00- 16:45.,2,3,3,0,1,"YES Unit size 2.9m x 2.52m, Door width 0.9m,Seat height 44cm. Support rails moveable, Contrasting skirting, Non reflective surfaces",Y,N,"Accessible unit only, during opening hours",N,Y,N,N,Y,N,"{""type"": ""Point"", ""coordinates"": [-2.602591579085974, 51.451482564631185]}","51.4514825646, -2.60259157909"
529,SS Great Britain,"Great Western Dockyard, Gas Ferry Road, Bristol",BS1 6TY,Hotwells & Harbourside,Monday-Sunday 10:00-16:30,,,,,1,YES,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.607459445906513, 51.44884116324008]}","51.4488411632, -2.60745944591"
1617,Cafe on the Square,"Shirehampton Road, Bristol",BS9 2DY,Stoke Bishop,Monday-Friday 09:00-17:00 Saturday 10:00-14:00,0,0,0,1,1,"YES - Door 90cm, seat height 48cm, cubical size 152-200cm",N,N,N,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.647597981555509, 51.48798155895088]}","51.487981559, -2.64759798156"
1618,River Cottage Canteen,"St Johns Court, Whiteladies Road, Bristol",BS8 2QY,Clifton Down,"Monday-Friday 10:00-22:00, Saturdays 09:00-22:00, Sunday 09:00-17:00",1,,1,1,1,"YES - Cubical 210 x 150cm, seat height 50cm, handrails.",N,N,N,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.613127119926226, 51.46783460965243]}","51.4678346097, -2.61312711993"
2065,Bradgate Health Centre (Pioneer Medical Group),"Ardenton Walk, Brentry",BS10 6SP,Henbury & Brentry,"Monday-Friday 08:00-18:30, Saturday 08:00-13:00",0,0,0,2,1,"Yes - Cubical size 200x200cm. Door 100cm, Seat height 40cm.",N,N,No,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.617683193432173, 51.51027087537396]}","51.5102708754, -2.61768319343"
59,Tesco - Golden Hill,"Golden Hill, Lime Trees Road, BS6 7XW",BS6 7XW,Westbury-on-Trym & Henleaze,"Monday-Saturday 08:00-22:00, Sunday 10:00-16:00",1,2,2,,1,YES - Movable handrails. Cubical size 150-170cm. Seat height 48cm.,N,N,Y - During open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.596169941062511, 51.48572511479389]}","51.4857251148, -2.59616994106"
1633,The Jersey Lily,"193 Whiteladies Road, Bristol",BS8 2SB,Clifton Down,"Monday-Wedensday 11:00-23:00, Thurs- Saturday 11:00-00:00, Sunday 12:00-23:00",1,3,1,,0,NONE,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.614014473803496, 51.46950229652369]}","51.4695022965, -2.6140144738"
5489,The Hub,"1 Fedden Building, Gainsborough Square",BS7 9FB,Lockleaze,Monday - Friday 9am - 3pm,1,,1,,YES,YES,N,,,,Y,,,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.5625930621243773, 51.49008840678964]}","51.4900884068, -2.56259306212"
3521,Avonmouth Community Centre,"257 Avonmouth Road, Avonmouth",BS11 9EN,Avonmouth & Lawrence Weston,Monday - Thursday 09.30-16:30,1,3,2,,1,"YES - Movable support rails, Cubical size 170 - 240cm. Seat height 46cm.",N,N,Y - Monitored during open times,N,N,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.698363379203755, 51.50016251963024]}","51.5001625196, -2.6983633792"
